MAZ,geometry,Population,area_acres,TAZ
68,POINT (564116.4080973417 4184032.339686192),1569.0000,36.2080,968
69,POINT (564262.5630108813 4183846.0817059893),1219.0000,50.8100,968
70,POINT (563779.8929422611 4184124.4605483026),2238.0000,85.6489,969
71,POINT (564589.2759013529 4183177.166238761),2420.0000,206.0386,946
72,POINT (564547.3158170661 4183691.714443895),1634.0000,44.0065,946
73,POINT (565306.7738029317 4184430.7274018694),919.0000,269.6623,945
74,POINT (564698.120011873 4184107.306759999),1349.0000,24.5003,945
75,POINT (564910.0621249503 4184174.8099276014),884.0000,9.2523,945
76,POINT (564806.5306578092 4184225.6125280866),994.0000,9.3675,945
77,POINT (564896.2324407863 4185462.513355185),2000.0000,66.2308,972
78,POINT (565234.1878360593 4186012.688720629),1703.0000,70.1703,972
79,POINT (565391.758932281 4186347.0298298504),671.0000,29.0134,972
80,POINT (565232.7395814203 4185476.985370941),852.0000,18.8023,972
81,POINT (565522.9330685034 4185784.1343157925),1139.0000,26.2539,972
82,POINT (565891.0027455318 4185431.635520633),1070.0000,36.1317,941
83,POINT (565646.7090975883 4185476.781964017),1514.0000,25.6970,941
84,POINT (565564.9065637921 4185271.9255852164),1898.0000,34.8438,941
85,POINT (565184.1621031382 4185218.681100241),1231.0000,19.5319,942
86,POINT (565312.4965500114 4185052.2002582396),1356.0000,23.4211,942
87,POINT (566007.260876431 4184981.641933165),545.0000,26.6175,942
88,POINT (565629.8512749126 4184895.5900733345),1179.0000,22.5476,942
89,POINT (567213.0558366074 4185651.761293625),614.0000,41.9056,939
90,POINT (566734.1962866612 4185420.3725435897),804.0000,27.2728,939
91,POINT (566390.8702219905 4185199.7920544264),809.0000,33.9940,939
92,POINT (566625.0923572208 4185716.141990807),1234.0000,57.9399,939
93,POINT (566147.8755189442 4186065.818802087),1331.0000,40.4037,940
94,POINT (566243.705160319 4185725.319964501),692.0000,31.5055,940
95,POINT (566018.6203959985 4185623.659024244),1561.0000,49.8540,940
96,POINT (565880.1923579226 4186262.4177059243),1667.0000,32.2529,973
97,POINT (565575.2566720156 4186590.6436160863),1152.0000,58.3678,973
98,POINT (566226.2313927573 4187236.805598987),1149.0000,76.2327,974
99,POINT (565769.9498698743 4187219.680270747),1780.0000,65.4431,974
100,POINT (566016.1643622619 4186736.787169476),1359.0000,36.3875,974
101,POINT (565720.6808484764 4186846.47278024),924.0000,20.4503,974
